UI;MAI*;Date;ZONE;REPARTITEUR;VILLE;TYPE INCIDENT;LOCALISATION;N° PV / CONSTAT;N° AS;CODE POSTAL;TIERS IDENTIFIE;AUTEUR DOMMAGE;AUTEUR CONSTAT;ADRESSE DOMMAGE;CODE INSEE
PK2;0402143;2014-02-04;SO;AIR;AIRAINES;CABLE;98/08/4  COUPE;2056425;;80270;FAUX;;;ANGLE RU DU 1 NOVEMBRE ET RUE DE L INDUSTRIE;80013
PK2;05021411;2014-02-06;CS;MAO;MAREUIL-SUR-OURCQ;CABLE;RETENDU CABLE 5/9 CROCHETS CASSES;2062172;;60890;FAUX;;ENTRE EXT;;60380
PK2;28011412;2014-01-28;CS;THO;THOUROTTE;CABLE;SIG PAR GENDARMERIE 0344854217;2237702;;60150;VRAI;ENGIN LEVAGE 5GENDARMERIE CHOISY AU BAC;TEC FT;RT DE LONGUEIL ANNEL;60636
PK2;28011423;2014-01-28;CS;THO;LONGUEIL-ANNEL;CABLE;;2237581;;60150;VRAI;ste altead camion mercedes ch096ec TELEPH 0251555407;;27 rue de la mairie et rue du petit marais;60368
PK2;3101145;2014-01-31;OI;CHN;GOUVIEUX;DIVERS;"sr vandaliseech des aigles  gouvieux  chn a01 pv gendarmerie chantilly ";0000431;;60270;FAUX;;TEC FT;chemin des aigle;60282
